Date,Currency,Rate
2025-02-21,USD,3.9835
2025-02-21,EUR,4.1705
2025-02-21,GBP,5.0393
2025-02-21,CHF,4.4313
2025-02-21,JPY,0.026472
2025-02-21,USD,3.9835
2025-02-21,EUR,4.1705
2025-02-21,GBP,5.0393
2025-02-21,CHF,4.4313
2025-02-21,JPY,0.026472
2025-02-24,USD,3.9734
2025-02-24,EUR,4.1609
2025-02-24,GBP,5.0216
2025-02-24,CHF,4.4187
2025-02-24,JPY,0.026565
2025-03-21,USD,3.8774
2025-03-21,EUR,4.1979
2025-03-21,GBP,5.0148
2025-03-21,CHF,4.3911
2025-03-21,JPY,0.025955
2025-03-21,USD,3.8774
2025-03-21,EUR,4.1979
2025-03-21,GBP,5.0148
2025-03-21,CHF,4.3911
2025-03-21,JPY,0.025955
2025-03-21,USD,3.8774
2025-03-21,EUR,4.1979
2025-03-21,GBP,5.0148
2025-03-21,CHF,4.3911
2025-03-21,JPY,0.025955
2025-04-30,USD,3.7617
2025-04-30,EUR,4.2778
2025-04-30,GBP,5.0283
2025-04-30,CHF,4.5562
2025-04-30,JPY,0.026336
2025-04-30,USD,3.7617
2025-04-30,EUR,4.2778
2025-04-30,GBP,5.0283
2025-04-30,CHF,4.5562
2025-04-30,JPY,0.026336
